mode,sampling,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
SAT,station_balanced,temporal_test,29,2,0.5300000000000001,157,401,280,37906,0.28136200716845877,0.35926773455377575,0.1873508353221957
SAT,station_balanced,spatial_test,29,2,0.5300000000000001,27,613,67,5075,0.0421875,0.2872340425531915,0.03818953323903819
