mode,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
SAT,temporal_test,16,12,0.5300000000000001,46,255,391,38052,0.15282392026578073,0.10526315789473684,0.06647398843930635
SAT,spatial_test,16,12,0.5300000000000001,0,12,94,5676,0.0,0.0,0.0
SAT_TIME,temporal_test,20,4,0.5100000000000001,40,258,397,38049,0.1342281879194631,0.09153318077803203,0.05755395683453238
SAT_TIME,spatial_test,20,4,0.5100000000000001,0,8,94,5680,0.0,0.0,0.0
SAT_TIME_GEO,temporal_test,23,11,0.6900000000000002,192,196,245,38111,0.4948453608247423,0.43935926773455375,0.3033175355450237
SAT_TIME_GEO,spatial_test,23,11,0.6900000000000002,4,22,90,5666,0.15384615384615385,0.0425531914893617,0.034482758620689655
