threshold,tp,fp,fn,tn,precision,recall,csi
0.6,5,83,89,5605,0.056818181818181816,0.05319148936170213,0.02824858757062147
0.61,4,74,90,5614,0.05128205128205128,0.0425531914893617,0.023809523809523808
0.62,4,67,90,5621,0.056338028169014086,0.0425531914893617,0.024844720496894408
0.63,4,57,90,5631,0.06557377049180328,0.0425531914893617,0.026490066225165563
0.64,4,51,90,5637,0.07272727272727272,0.0425531914893617,0.027586206896551724
0.65,4,44,90,5644,0.08333333333333333,0.0425531914893617,0.028985507246376812
0.66,4,40,90,5648,0.09090909090909091,0.0425531914893617,0.029850746268656716
0.67,4,34,90,5654,0.10526315789473684,0.0425531914893617,0.03125
0.68,4,31,90,5657,0.11428571428571428,0.0425531914893617,0.032
0.6900000000000001,4,27,90,5661,0.12903225806451613,0.0425531914893617,0.03305785123966942
0.7000000000000001,4,22,90,5666,0.15384615384615385,0.0425531914893617,0.034482758620689655
0.71,4,21,90,5667,0.16,0.0425531914893617,0.034782608695652174
0.72,4,19,90,5669,0.17391304347826086,0.0425531914893617,0.035398230088495575
0.73,4,18,90,5670,0.18181818181818182,0.0425531914893617,0.03571428571428571
0.74,4,17,90,5671,0.19047619047619047,0.0425531914893617,0.036036036036036036
0.75,4,17,90,5671,0.19047619047619047,0.0425531914893617,0.036036036036036036
0.76,4,16,90,5672,0.2,0.0425531914893617,0.03636363636363636
0.77,4,13,90,5675,0.23529411764705882,0.0425531914893617,0.037383177570093455
0.78,4,13,90,5675,0.23529411764705882,0.0425531914893617,0.037383177570093455
0.79,4,13,90,5675,0.23529411764705882,0.0425531914893617,0.037383177570093455
0.8,4,11,90,5677,0.26666666666666666,0.0425531914893617,0.0380952380952381
0.81,4,9,90,5679,0.3076923076923077,0.0425531914893617,0.038834951456310676
0.8200000000000001,4,8,90,5680,0.3333333333333333,0.0425531914893617,0.0392156862745098
0.8300000000000001,3,8,91,5680,0.2727272727272727,0.031914893617021274,0.029411764705882353
0.84,2,8,92,5680,0.2,0.02127659574468085,0.0196078431372549
0.85,2,7,92,5681,0.2222222222222222,0.02127659574468085,0.019801980198019802
0.86,2,7,92,5681,0.2222222222222222,0.02127659574468085,0.019801980198019802
0.87,2,6,92,5682,0.25,0.02127659574468085,0.02
0.88,2,6,92,5682,0.25,0.02127659574468085,0.02
0.89,1,5,93,5683,0.16666666666666666,0.010638297872340425,0.010101010101010102
0.9,0,2,94,5686,0.0,0.0,0.0
0.91,0,1,94,5687,0.0,0.0,0.0
0.92,0,0,94,5688,0.0,0.0,0.0
0.93,0,0,94,5688,0.0,0.0,0.0
0.9400000000000001,0,0,94,5688,0.0,0.0,0.0
0.9500000000000001,0,0,94,5688,0.0,0.0,0.0
0.96,0,0,94,5688,0.0,0.0,0.0
0.97,0,0,94,5688,0.0,0.0,0.0
0.98,0,0,94,5688,0.0,0.0,0.0
0.99,0,0,94,5688,0.0,0.0,0.0
1.0,0,0,94,5688,0.0,0.0,0.0
