mode,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
GROUND,temporal_test,49,2,0.6100000000000001,246,426,191,37881,0.36607142857142855,0.562929061784897,0.2850521436848204
GROUND,spatial_test,49,2,0.6100000000000001,9,248,85,5440,0.03501945525291829,0.09574468085106383,0.02631578947368421
