mode,sampling,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
GROUND,station_balanced,temporal_test,49,2,0.6000000000000002,283,510,154,37797,0.35687263556116017,0.6475972540045767,0.2988384371700106
GROUND,station_balanced,spatial_test,49,2,0.6000000000000002,4,32,90,5656,0.1111111111111111,0.0425531914893617,0.031746031746031744
