mode,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
SAT,temporal_test,16,12,0.5500000000000002,44,226,393,38081,0.16296296296296298,0.10068649885583524,0.06636500754147813
SAT,spatial_test,16,12,0.5500000000000002,0,9,94,5679,0.0,0.0,0.0
SAT_TIME,temporal_test,20,4,0.5100000000000001,40,258,397,38049,0.1342281879194631,0.09153318077803203,0.05755395683453238
SAT_TIME,spatial_test,20,4,0.5100000000000001,0,8,94,5680,0.0,0.0,0.0
SAT_TIME_GEO,temporal_test,23,6,0.5300000000000001,152,347,285,37960,0.3046092184368738,0.34782608695652173,0.19387755102040816
SAT_TIME_GEO,spatial_test,23,6,0.5300000000000001,4,26,90,5662,0.13333333333333333,0.0425531914893617,0.03333333333333333
