mode,sampling,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
SAT,event_balanced,temporal_test,29,1,0.6100000000000001,126,217,311,38090,0.3673469387755102,0.28832951945080093,0.1926605504587156
SAT,event_balanced,spatial_test,29,1,0.6100000000000001,0,0,94,5688,0.0,0.0,0.0
