mode,sampling,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
GROUND,event_balanced,temporal_test,49,1,0.5400000000000001,267,518,170,37789,0.3401273885350318,0.6109839816933639,0.27958115183246074
GROUND,event_balanced,spatial_test,49,1,0.5400000000000001,0,0,94,5688,0.0,0.0,0.0
