threshold,tp,fp,fn,tn,precision,recall,csi
0.47000000000000003,22,141,72,5547,0.13496932515337423,0.23404255319148937,0.09361702127659574
0.48,20,129,74,5559,0.1342281879194631,0.2127659574468085,0.08968609865470852
0.49,17,119,77,5569,0.125,0.18085106382978725,0.07981220657276995
0.5,15,109,79,5579,0.12096774193548387,0.1595744680851064,0.07389162561576355
0.51,13,104,81,5584,0.1111111111111111,0.13829787234042554,0.06565656565656566
0.52,12,100,82,5588,0.10714285714285714,0.1276595744680851,0.061855670103092786
0.53,11,91,83,5597,0.10784313725490197,0.11702127659574468,0.05945945945945946
0.54,10,85,84,5603,0.10526315789473684,0.10638297872340426,0.055865921787709494
0.55,7,79,87,5609,0.08139534883720931,0.07446808510638298,0.04046242774566474
0.56,7,76,87,5612,0.08433734939759036,0.07446808510638298,0.041176470588235294
0.5700000000000001,6,67,88,5621,0.0821917808219178,0.06382978723404255,0.037267080745341616
0.58,6,66,88,5622,0.08333333333333333,0.06382978723404255,0.0375
0.59,6,60,88,5628,0.09090909090909091,0.06382978723404255,0.03896103896103896
0.6,6,57,88,5631,0.09523809523809523,0.06382978723404255,0.039735099337748346
0.61,6,52,88,5636,0.10344827586206896,0.06382978723404255,0.0410958904109589
0.62,6,48,88,5640,0.1111111111111111,0.06382978723404255,0.04225352112676056
0.63,6,43,88,5645,0.12244897959183673,0.06382978723404255,0.043795620437956206
0.64,6,38,88,5650,0.13636363636363635,0.06382978723404255,0.045454545454545456
0.65,6,34,88,5654,0.15,0.06382978723404255,0.046875
0.66,6,32,88,5656,0.15789473684210525,0.06382978723404255,0.047619047619047616
0.67,6,23,88,5665,0.20689655172413793,0.06382978723404255,0.05128205128205128
0.68,6,16,88,5672,0.2727272727272727,0.06382978723404255,0.05454545454545454
0.6900000000000001,4,8,90,5680,0.3333333333333333,0.0425531914893617,0.0392156862745098
0.7000000000000001,4,7,90,5681,0.36363636363636365,0.0425531914893617,0.039603960396039604
0.71,4,7,90,5681,0.36363636363636365,0.0425531914893617,0.039603960396039604
0.72,4,6,90,5682,0.4,0.0425531914893617,0.04
0.73,4,5,90,5683,0.4444444444444444,0.0425531914893617,0.04040404040404041
0.74,4,5,90,5683,0.4444444444444444,0.0425531914893617,0.04040404040404041
0.75,2,2,92,5686,0.5,0.02127659574468085,0.020833333333333332
0.76,1,1,93,5687,0.5,0.010638297872340425,0.010526315789473684
0.77,1,0,93,5688,1.0,0.010638297872340425,0.010638297872340425
0.78,0,0,94,5688,0.0,0.0,0.0
0.79,0,0,94,5688,0.0,0.0,0.0
0.8,0,0,94,5688,0.0,0.0,0.0
0.81,0,0,94,5688,0.0,0.0,0.0
0.8200000000000001,0,0,94,5688,0.0,0.0,0.0
0.8300000000000001,0,0,94,5688,0.0,0.0,0.0
0.84,0,0,94,5688,0.0,0.0,0.0
0.85,0,0,94,5688,0.0,0.0,0.0
0.86,0,0,94,5688,0.0,0.0,0.0
0.87,0,0,94,5688,0.0,0.0,0.0
0.88,0,0,94,5688,0.0,0.0,0.0
0.89,0,0,94,5688,0.0,0.0,0.0
0.9,0,0,94,5688,0.0,0.0,0.0
0.91,0,0,94,5688,0.0,0.0,0.0
0.92,0,0,94,5688,0.0,0.0,0.0
0.93,0,0,94,5688,0.0,0.0,0.0
0.9400000000000001,0,0,94,5688,0.0,0.0,0.0
0.9500000000000001,0,0,94,5688,0.0,0.0,0.0
0.96,0,0,94,5688,0.0,0.0,0.0
0.97,0,0,94,5688,0.0,0.0,0.0
0.98,0,0,94,5688,0.0,0.0,0.0
0.99,0,0,94,5688,0.0,0.0,0.0
1.0,0,0,94,5688,0.0,0.0,0.0
