mode,split,features,best_epoch,threshold,tp,fp,fn,tn,precision,pod,csi
SAT_GROUND,temporal_test,71,3,0.7800000000000001,214,251,223,38056,0.46021505376344085,0.4897025171624714,0.311046511627907
SAT_GROUND,spatial_test,71,3,0.7800000000000001,6,64,88,5624,0.08571428571428572,0.06382978723404255,0.0379746835443038
