threshold,tp,fp,fn,tn,precision,recall,csi
0.78,4,38,90,5650,0.09523809523809523,0.0425531914893617,0.030303030303030304
0.79,4,37,90,5651,0.0975609756097561,0.0425531914893617,0.030534351145038167
0.8,4,36,90,5652,0.1,0.0425531914893617,0.03076923076923077
0.81,4,34,90,5654,0.10526315789473684,0.0425531914893617,0.03125
0.8200000000000001,4,33,90,5655,0.10810810810810811,0.0425531914893617,0.031496062992125984
0.8300000000000001,4,32,90,5656,0.1111111111111111,0.0425531914893617,0.031746031746031744
0.84,4,32,90,5656,0.1111111111111111,0.0425531914893617,0.031746031746031744
0.85,4,30,90,5658,0.11764705882352941,0.0425531914893617,0.03225806451612903
0.86,4,28,90,5660,0.125,0.0425531914893617,0.03278688524590164
0.87,4,24,90,5664,0.14285714285714285,0.0425531914893617,0.03389830508474576
0.88,4,24,90,5664,0.14285714285714285,0.0425531914893617,0.03389830508474576
0.89,4,21,90,5667,0.16,0.0425531914893617,0.034782608695652174
0.9,4,19,90,5669,0.17391304347826086,0.0425531914893617,0.035398230088495575
0.91,4,18,90,5670,0.18181818181818182,0.0425531914893617,0.03571428571428571
0.92,4,17,90,5671,0.19047619047619047,0.0425531914893617,0.036036036036036036
0.93,4,14,90,5674,0.2222222222222222,0.0425531914893617,0.037037037037037035
0.9400000000000001,4,12,90,5676,0.25,0.0425531914893617,0.03773584905660377
0.9500000000000001,4,9,90,5679,0.3076923076923077,0.0425531914893617,0.038834951456310676
0.96,4,6,90,5682,0.4,0.0425531914893617,0.04
0.97,4,4,90,5684,0.5,0.0425531914893617,0.04081632653061224
0.98,0,0,94,5688,0.0,0.0,0.0
0.99,0,0,94,5688,0.0,0.0,0.0
1.0,0,0,94,5688,0.0,0.0,0.0
